,Country,GDP_USD_billions,GDP_USD_million
0,United States,26854.6,"26,854,599"
1,China,19373.59,"19,373,586"
2,Japan,4409.74,"4,409,738"
3,Germany,4308.85,"4,308,854"
4,India,3736.88,"3,736,882"
5,United Kingdom,3158.94,"3,158,938"
6,France,2923.49,"2,923,489"
7,Italy,2169.74,"2,169,745"
8,Canada,2089.67,"2,089,672"
9,Brazil,2081.24,"2,081,235"
10,Russia,2062.65,"2,062,649"
11,South Korea,1721.91,"1,721,909"
12,Australia,1707.55,"1,707,548"
13,Mexico,1663.16,"1,663,164"
14,Spain,1492.43,"1,492,432"
15,Indonesia,1391.78,"1,391,778"
16,Netherlands,1080.88,"1,080,880"
17,Saudi Arabia,1061.9,"1,061,902"
18,Turkey,1029.3,"1,029,303"
19,Switzerland,869.6,"869,601"
20,Taiwan,790.73,"790,728"
21,Poland,748.89,"748,887"
22,Argentina,641.1,"641,102"
23,Belgium,624.25,"624,248"
24,Sweden,599.05,"599,052"
25,Ireland,594.1,"594,095"
26,Thailand,574.23,"574,231"
27,Norway,554.11,"554,105"
28,Israel,539.22,"539,223"
29,Singapore,515.55,"515,548"
30,Austria,515.2,"515,199"
31,Nigeria,506.6,"506,601"
32,United Arab Emirates,498.98,"498,978"
33,Vietnam,449.09,"449,094"
34,Malaysia,447.03,"447,026"
35,Philippines,440.9,"440,901"
36,Bangladesh,420.52,"420,516"
37,Denmark,405.63,"405,626"
38,South Africa,399.01,"399,015"
39,Hong Kong,382.85,"382,854"
40,Egypt,378.11,"378,110"
41,Iran,367.97,"367,970"
42,Chile,358.56,"358,557"
43,Romania,348.9,"348,902"
44,Colombia,334.69,"334,689"
45,Czech Republic,330.48,"330,483"
46,Finland,301.67,"301,670"
47,Peru,268.24,"268,235"
48,Iraq,267.89,"267,893"
49,Portugal,267.72,"267,721"
50,New Zealand,251.97,"251,969"
51,Kazakhstan,245.69,"245,695"
52,Greece,239.3,"239,300"
53,Qatar,219.57,"219,570"
54,Algeria,206.01,"206,007"
55,Hungary,188.5,"188,505"
56,Kuwait,164.71,"164,713"
